"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000019312",1549.68929151652,0.810065487625321,0.166942331269218,4.85236717054692,1.21996491363635e-06,4.80989945939372e-05,"Grb7"
"ENSMUSG00000019467",897.777122587087,-0.642225111963616,0.231189137064891,-2.77792079730525,0.00547079516316526,0.0394145711543194,"Arhgef25"
"ENSMUSG00000019787",202.048225359069,1.2552678806451,0.365018800489552,3.43891295177556,0.000584055003564942,0.00724980971923,"Trdn"
"ENSMUSG00000019820",15076.0620741846,-0.737534394446663,0.175875892637429,-4.193493396887,2.74691076398838e-05,0.000616502020083573,"Utrn"
"ENSMUSG00000019846",3042.35021604271,-0.754499111033887,0.191642204403799,-3.93701957969615,8.24998779342242e-05,0.00150302555803535,"Lama4"
"ENSMUSG00000019899",1772.21131103111,-0.808659232518884,0.205229374627071,-3.94027041201253,8.13898122639183e-05,0.00148673721482096,"Lama2"
"ENSMUSG00000020017",373.552078897178,1.75314303795755,0.271475856191467,6.45782303646586,1.0621984447246e-10,1.11624560088265e-08,"Hal"
"ENSMUSG00000020061",483.956082827833,6.13900383256146,1.85691958792671,3.30601490364792,0.000946330540572326,0.0104038123737382,"Mybpc1"
"ENSMUSG00000020072",159.064188766807,1.00784998477224,0.36917662177564,2.7299940606335,0.00633354666033575,0.0443373084196309,"Pbld2"
"ENSMUSG00000020092",2437.95520610016,-0.422536936403781,0.136313564125576,-3.09974241458853,0.00193689006839673,0.0179287777574651,"Pald1"
"ENSMUSG00000020108",874.242613439274,0.502819747853611,0.18644505634244,2.69687895038682,0.00699927085693234,0.0476895399920276,"Ddit4"
"ENSMUSG00000020154",30483.2887934512,-1.25513593347627,0.229310981849988,-5.47350991806124,4.41208177552296e-08,2.69937811368896e-06,"Ptprb"
"ENSMUSG00000020160",1317.47222672241,-1.00941112188678,0.263641678772702,-3.82872361678837,0.000128809562073329,0.00217708876673607,"Meis1"
"ENSMUSG00000020264",1115.53074563224,-0.8550502185165,0.197414352658187,-4.33124647222068,1.48267599469363e-05,0.000369944226888292,"Slc36a2"
"ENSMUSG00000020277",2838.99250106988,0.491088968527052,0.17371582536685,2.82696736172413,0.00469911170804292,0.0350227912658268,"Pfkl"
"ENSMUSG00000020330",118.292121674678,1.49071127934083,0.474133996837994,3.14407169551732,0.00166614613427491,0.0160202910058241,"Hmmr"
"ENSMUSG00000020387",2517.16884805608,-0.407716751720053,0.149282791862387,-2.73117046267393,0.0063109819946635,0.0442139973861425,"Jade2"
"ENSMUSG00000020399",558.368771551213,0.586466841956931,0.193803083328448,3.02609655060551,0.00247733183114242,0.0215365124882527,"Havcr2"
"ENSMUSG00000020422",13324.9448940441,-0.865528290339604,0.198870990052967,-4.35220989300189,1.34772142618431e-05,0.000342977824484084,"Tns3"
"ENSMUSG00000020431",212.641071186749,-1.07099326588002,0.364557674738627,-2.93778828452283,0.00330562679554409,0.0268106141418628,"Adcy1"
"ENSMUSG00000020473",4496.21837907679,-0.560137929005733,0.172170711727808,-3.25338684718502,0.00114038132534016,0.0120327645884266,"Aebp1"
"ENSMUSG00000020599",337.91372315509,-1.68761519482558,0.255392129414699,-6.60793736554531,3.89711491698082e-11,4.49743212681504e-09,"Rgs9"
"ENSMUSG00000020609",145.591585436483,2.00551109853125,0.366090294212439,5.47818702171729,4.29705825670876e-08,2.63803937306193e-06,"Apob"
"ENSMUSG00000020642",5325.00259739931,-0.711776684536701,0.205417541149058,-3.46502387554241,0.00053018440799251,0.00668436446632758,"Rnf144a"
"ENSMUSG00000020900",12259.5711880182,-0.845178696410827,0.233430009904392,-3.62069425759351,0.000293813554710178,0.00420591278437285,"Myh10"
"ENSMUSG00000020919",2819.78609580338,-0.429509627737309,0.135912705880601,-3.16018745233896,0.00157667664400189,0.0153622943419093,"Stat5b"
"ENSMUSG00000021109",3254.57934816765,0.447609117556812,0.161713851010589,2.76790834402616,0.00564173196436723,0.0403696133501889,"Hif1a"
"ENSMUSG00000021198",256.118304274072,-1.72357532750908,0.293310849611967,-5.87627539107154,4.19600067872869e-09,3.30227101874397e-07,"Unc79"
"ENSMUSG00000021281",3065.71267481408,0.793600932453258,0.196527766747715,4.03811097834339,5.38833614489016e-05,0.00106250138221261,"Tnfaip2"
"ENSMUSG00000021285",2683.53361552073,-0.46741504405201,0.141789218553557,-3.29654855863005,0.000978806926218221,0.0106819705173418,"Ppp1r13b"
"ENSMUSG00000021294",1175.61621171474,-1.05271169955827,0.229223967731665,-4.59250273859058,4.37961761445608e-06,0.000135132761109254,"Kif26a"
"ENSMUSG00000021301",35.2636400049015,4.00019593775276,0.854199979195904,4.68297358367805,2.82742963050192e-06,9.53057176394658e-05,"Hecw1"
"ENSMUSG00000021313",1024.35439981312,-0.883111828717516,0.179547532955994,-4.91854059021775,8.71918384098801e-07,3.67774737306171e-05,"Ryr2"
"ENSMUSG00000021466",3037.05588102754,-0.550513577987286,0.189794158248218,-2.9005823101642,0.00372470001100844,0.0294042269980848,"Ptch1"
"ENSMUSG00000021759",2435.39795404006,-0.948229796984598,0.232180049370353,-4.08402788937333,4.42617150901444e-05,0.000902788285971615,"Plpp1"
"ENSMUSG00000021943",498.036021660576,-1.00189991213329,0.286337242761045,-3.49902060406931,0.000466970494728655,0.00606722028241994,"Gdf10"
"ENSMUSG00000022043",3518.99837118786,-0.577224017004739,0.127717918668996,-4.51952257772629,6.19792381259398e-06,0.000178878689680116,"Trim35"
"ENSMUSG00000022197",11539.7126133266,-1.10746711583808,0.200897320965938,-5.51260270925092,3.53565733397082e-08,2.2201481976665e-06,"Pdzd2"
"ENSMUSG00000022218",405.203914300851,2.18370380479163,0.236531667011385,9.23218371722938,2.65169752683853e-20,1.15542869065781e-17,"Tgm1"
"ENSMUSG00000022376",924.285904540512,-1.20037718279515,0.26824692313422,-4.47489637073873,7.64483819758162e-06,0.000213398491249681,"Adcy8"
"ENSMUSG00000022377",2689.5255220865,-0.425729333636742,0.137048260670101,-3.1064190932094,0.00189368121029163,0.0176292938102449,"Asap1"
"ENSMUSG00000022416",105.07953314243,-1.11083481972269,0.398082328286168,-2.790465038991,0.00526323840790823,0.0382693342113474,"Cacna1i"
"ENSMUSG00000022687",1029.543822213,-0.714901707241024,0.21004869407762,-3.40350465105412,0.000665272807099217,0.00795593740476209,"Boc"
"ENSMUSG00000022763",143.990585195924,1.12137145587992,0.402493051574138,2.78606413575159,0.00533523145097064,0.0386982987704387,"Aifm3"
"ENSMUSG00000022899",1526.42450662522,0.972457484955267,0.221478295270039,4.39075749508361,1.12956462675396e-05,0.000292459015318254,"Slc15a2"
"ENSMUSG00000023905",966.623757117724,0.9184934357322,0.212890571344088,4.31439227173508,1.60042551893491e-05,0.000391665779394139,"Tnfrsf12a"
"ENSMUSG00000023915",2154.22116272416,0.413728688641724,0.14048721738101,2.94495610600405,0.0032300048231335,0.0263448569756342,"Tnfrsf21"
"ENSMUSG00000024059",2749.54242395807,0.737592005617582,0.131905014846897,5.59184202718682,2.24673191359449e-08,1.48658761616169e-06,"Clip4"
"ENSMUSG00000024421",6519.90894975621,-0.487323782545716,0.149662365118704,-3.25615449254191,0.00112932284219858,0.0119310186729023,"Lama3"
"ENSMUSG00000024480",742.522184128629,0.716978778061422,0.192100470544898,3.7323114098976,0.000189730737580954,0.00299722626878157,"Ap3s1"
"ENSMUSG00000024548",1311.95724508784,-0.424055910653025,0.156739009123316,-2.7054905669296,0.00682035853138649,0.0468097215379254,"Setbp1"
"ENSMUSG00000024713",881.31992257287,-0.942782321061457,0.207865512657646,-4.53553987387131,5.74563213534706e-06,0.000167996265299468,"Pcsk5"
"ENSMUSG00000024730",695.677951107075,1.097011603742,0.190457153747685,5.75988657897991,8.41704754883328e-09,6.26543976916277e-07,"Ms4a8a"
"ENSMUSG00000024737",1456.69330795933,0.480377544612398,0.157131058564187,3.05717754975962,0.00223431888396868,0.0199880354842767,"Slc15a3"
"ENSMUSG00000024776",508.880379989981,0.632641239019832,0.223760310599903,2.82731659302634,0.00469398954272913,0.0349992166865008,"Stambpl1"
"ENSMUSG00000024791",50.5551106904815,1.89357644945573,0.579743175454071,3.26623327298786,0.00108988427479593,0.0116381134150594,"Cdca5"
"ENSMUSG00000024810",4758.91898421842,0.63533343863009,0.237337433346669,2.6769204910971,0.00743022650166302,0.0497716522130521,"Il33"
"ENSMUSG00000024883",356.770306049587,0.84631740798129,0.256890200407162,3.29447136029287,0.000986069924899619,0.0107493300887821,"Rin1"
"ENSMUSG00000024921",10681.2941572867,-0.633928044226026,0.207156907097769,-3.06013472158493,0.00221237449147114,0.019871327446019,"Smarca2"
"ENSMUSG00000024948",3893.9841731991,-0.82114999622475,0.1625960107508,-5.050246881415,4.41239427126062e-07,2.07440588568608e-05,"Map4k2"
"ENSMUSG00000024978",4647.75013705556,-0.625983886118861,0.133738145264983,-4.68066821831995,2.8594137506414e-06,9.61495321457241e-05,"Gpam"
"ENSMUSG00000024981",10193.2392848112,0.387146164061405,0.136705528059973,2.83197153440323,0.00462619668772824,0.0345803363289812,"Acsl5"
"ENSMUSG00000025075",54.195108081653,4.053274398873,0.909139543249233,4.45836332713758,8.25878295033753e-06,0.000225601158115872,"Habp2"
"ENSMUSG00000025078",4175.19374956074,-0.707054648796592,0.148471455112832,-4.76222616838542,1.9146891571111e-06,6.82752929975845e-05,"Nhlrc2"
"ENSMUSG00000025092",883.558930122134,-0.541610356880986,0.178634779354145,-3.0319423733675,0.00242985587176811,0.0212474720576915,"Hspa12a"
"ENSMUSG00000025348",1381.13662280879,1.52466384314038,0.193845531972838,7.86535458219393,3.68053429017236e-15,8.53931754466614e-13,"Itga7"
"ENSMUSG00000025402",980.149914712747,0.92025799562057,0.169062049981514,5.44331501789546,5.22980397390605e-08,3.12476414695089e-06,"Nab2"
"ENSMUSG00000025473",827.058052216012,-0.652023128894283,0.221795979383154,-2.9397427794122,0.00328484815613994,0.0266865904090223,"Adam8"
"ENSMUSG00000025477",2964.4165302654,-0.529301250151444,0.166522367457851,-3.17855948261976,0.00148008845627387,0.0146158584121888,"Inpp5a"
"ENSMUSG00000025534",2842.66981225749,0.41197946948963,0.15134450313372,2.72213037777545,0.00648625471198643,0.04503573277483,"Gusb"
"ENSMUSG00000025582",1071.87082866885,-0.886337739414149,0.242146517496343,-3.66033651269643,0.000251884226544027,0.00371893529521408,"Nptx1"
"ENSMUSG00000025584",1312.94721282647,-0.485533014708661,0.15542583669409,-3.12388869853273,0.00178477955386422,0.0169078979695419,"Pde8a"
"ENSMUSG00000025743",5276.10576470345,-0.463647520612005,0.149055986399808,-3.11055954081829,0.00186733245339647,0.0174585619020007,"Sdc3"
"ENSMUSG00000025785",1791.19265559713,0.791651265114219,0.184191485004978,4.29797970895791,1.72361937462798e-05,0.00041611432605039,"Exosc7"
"ENSMUSG00000025791",2053.18353557102,0.832707441629618,0.189267794261075,4.39962564619413,1.08437778215409e-05,0.000282965322453577,"Pgm1"
